Date,Time,Latitude,Longitude
2022/02/03,10:29:45,-40.579285,-64.997505
2022/02/03,10:45:35,-40.579266,-64.997498
2022/02/03,11:01:35,-40.579266,-64.997429
2022/02/03,11:16:51,-40.579277,-64.997444
2022/02/03,11:32:19,-40.579296,-64.997444
2022/02/03,11:53:51,-40.579296,-64.997505
2022/02/03,12:15:01,-40.579311,-64.997467
2022/02/03,12:30:38,-40.579323,-64.997505
2022/02/03,12:49:27,-40.579285,-64.997498
2022/02/03,13:13:24,-40.579308,-64.997467
2022/02/03,13:28:40,-40.579308,-64.997467
2022/02/03,13:43:56,-40.579311,-64.997467
2022/02/03,13:59:19,-40.579304,-64.997467
2022/02/03,14:14:46,-40.579330,-64.997490
2022/02/03,14:30:11,-40.579319,-64.997490
2022/02/03,14:45:38,-40.579304,-64.997498
2022/02/03,15:01:32,-40.579273,-64.997490
2022/02/03,15:17:51,-40.579296,-64.997467
2022/02/03,15:33:11,-40.579308,-64.997490
2022/02/03,15:48:30,-40.579311,-64.997490
2022/02/03,16:03:53,-40.579288,-64.997467
2022/02/03,16:19:08,-40.579269,-64.997398
2022/02/03,16:34:25,-40.579300,-64.997475
2022/02/03,16:49:48,-40.579155,-64.997612
2022/02/03,17:05:31,-40.579315,-64.997467
2022/02/03,17:20:52,-40.579296,-64.997444
2022/02/03,17:36:08,-40.579300,-64.997490
2022/02/03,17:51:21,-40.579288,-64.997452
2022/02/03,18:06:39,-40.579273,-64.997406
2022/02/03,18:21:49,-40.579323,-64.997398
2022/02/03,18:36:59,-40.579304,-64.997414
2022/02/03,18:52:31,-40.579304,-64.997421
2022/02/03,19:07:43,-40.579262,-64.997475
2022/02/03,19:22:45,-40.579308,-64.997444
2022/02/03,19:37:45,-40.579327,-64.997452
2022/02/03,19:52:43,-40.579281,-64.997452
2022/02/03,20:07:57,-40.579285,-64.997475
2022/02/03,20:23:19,-40.579262,-64.997444
2022/02/03,20:38:33,-40.579346,-64.997482
2022/02/03,20:53:58,-40.579247,-64.997421
2022/02/04,06:02:23,-40.579300,-64.997452
2022/02/04,06:17:28,-40.579300,-64.997452
2022/02/04,06:32:33,-40.579281,-64.997467
2022/02/04,06:47:34,-40.579281,-64.997444
2022/02/04,07:02:44,-40.579277,-64.997414
2022/02/04,07:17:54,-40.579311,-64.997444
2022/02/04,07:33:11,-40.579250,-64.997490
2022/02/04,07:48:31,-40.579296,-64.997459
2022/02/04,08:06:27,-40.579296,-64.997437
2022/02/04,08:21:28,-40.579277,-64.997452
2022/02/04,08:36:31,-40.579292,-64.997444
2022/02/04,08:51:38,-40.579311,-64.997459
2022/02/04,09:06:49,-40.579281,-64.997452
2022/02/04,09:21:56,-40.579262,-64.997452
2022/02/04,09:37:03,-40.579288,-64.997459
2022/02/04,09:52:11,-40.579319,-64.997505
2022/02/04,10:07:50,-40.579292,-64.997482
2022/02/04,10:23:32,-40.579288,-64.997475
2022/02/04,10:46:10,-40.579292,-64.997459
2022/02/04,11:01:30,-40.579247,-64.997520
2022/02/04,11:16:52,-40.579266,-64.997482
2022/02/04,11:32:22,-40.579266,-64.997475
2022/02/04,11:47:54,-40.579288,-64.997406
2022/02/04,12:03:23,-40.579243,-64.997475
2022/02/04,12:19:01,-40.579254,-64.997459
2022/02/04,12:34:25,-40.579197,-64.997437
2022/02/04,12:49:52,-40.579189,-64.997421
2022/02/04,13:05:20,-40.579193,-64.997414
2022/02/04,13:20:11,-40.579231,-64.997421
2022/02/04,13:35:06,-40.579212,-64.997398
2022/02/04,13:50:10,-40.579201,-64.997429
2022/02/04,14:05:17,-40.579185,-64.997513
2022/02/04,14:20:19,-40.579243,-64.997536
2022/02/04,14:35:20,-40.579247,-64.997475
2022/02/04,14:50:28,-40.579300,-64.997429
2022/02/04,15:06:19,-40.579315,-64.997414
2022/02/04,15:25:45,-40.579319,-64.997467
2022/02/04,15:50:03,-40.579342,-64.997475
2022/02/04,16:15:51,-40.579369,-64.997536
2022/02/04,16:32:05,-40.579273,-64.997444
2022/02/04,17:04:03,-40.579346,-64.997375
2022/02/04,17:42:05,-40.579330,-64.997398
2022/02/04,18:14:38,-40.579365,-64.997467
2022/02/04,18:51:47,-40.579395,-64.997353
2022/02/04,19:09:59,-40.579514,-64.997375
2022/02/04,19:50:55,-40.579288,-64.997498
2022/02/04,20:13:48,-40.579311,-64.997467
2022/02/04,20:29:27,-40.579285,-64.997475
2022/02/05,06:06:03,-40.579243,-64.997368
2022/02/05,07:07:35,-40.579243,-64.997368
2022/02/05,07:22:55,-40.579247,-64.997490
2022/02/05,07:38:23,-40.579311,-64.997414
2022/02/05,08:26:03,-40.579357,-64.997398
2022/02/05,09:06:18,-40.579357,-64.997398
2022/02/05,09:25:02,-40.579288,-64.997452
2022/02/05,09:47:11,-40.579250,-64.997459
2022/02/05,10:02:27,-40.579338,-64.997421
2022/02/05,10:18:01,-40.579288,-64.997475
2022/02/05,10:46:49,-40.579327,-64.997375
2022/02/05,11:18:49,-40.579315,-64.997444
2022/02/05,11:57:52,-40.579334,-64.997360
2022/02/05,12:13:10,-40.579353,-64.997391
2022/02/05,12:28:17,-40.579334,-64.997414
2022/02/05,12:43:28,-40.579304,-64.997467
2022/02/05,12:58:46,-40.579296,-64.997444
2022/02/05,13:14:21,-40.579311,-64.997437
2022/02/05,13:29:43,-40.579323,-64.997452
2022/02/05,13:46:03,-40.579323,-64.997482
2022/02/05,14:01:57,-40.579369,-64.997490
2022/02/05,14:16:54,-40.579376,-64.997482
2022/02/05,14:31:46,-40.579330,-64.997475
2022/02/05,14:46:42,-40.579319,-64.997475
2022/02/05,15:01:29,-40.579327,-64.997467
2022/02/05,15:16:39,-40.579334,-64.997467
2022/02/05,15:31:49,-40.579334,-64.997482
2022/02/05,15:47:09,-40.579353,-64.997597
2022/02/05,16:02:42,-40.579330,-64.997551
2022/02/05,16:17:57,-40.579346,-64.997574
2022/02/05,16:33:26,-40.579262,-64.997597
2022/02/05,16:48:54,-40.579308,-64.997581
