day;daydif;space distance;sex one;sex two;name one;name two
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;12;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
1/12/2020;30/11/2020;11;macho;hembra;T10;T30
1/12/2020;30/11/2020;10;macho;hembra;T10;T30
