day;time distance;space distance;time;name one;name two
2022/01/31;204.1;3;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;219.36666666666667;3;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;234.95;6;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;250.2;6;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;265.45;1;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;280.76666666666665;10;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;296.1666666666667;10;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;311.56666666666666;12;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;326.76666666666665;13;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;341.68333333333334;2;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;356.45;2;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;371.6666666666667;3;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;386.85;2;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;401.95;3;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;417.05;2;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;432.55;2;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;448.46666666666664;1;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;463.8666666666667;3;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;479.21666666666664;1;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;494.51666666666665;5;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;509.81666666666666;3;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;525.0833333333334;2;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;540.3;1;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;555.4666666666667;4;1900-01-01T11:40:34.000000000;T30;T6
2022/01/31;152.76666666666668;17;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;144.4;1;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;159.28333333333333;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;174.3;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;189.71666666666667;1;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;205.03333333333333;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;220.36666666666667;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;235.65;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;250.93333333333334;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;266.23333333333335;0;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;281.5;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;297.0833333333333;4;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;312.3333333333333;4;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;327.5833333333333;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;342.9;12;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;358.3;11;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;373.7;13;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;388.9;14;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;403.81666666666666;0;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;418.5833333333333;1;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;433.8;1;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;448.98333333333335;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;464.0833333333333;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;479.18333333333334;4;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;494.68333333333334;4;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;510.6;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;526.0;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;541.35;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;556.65;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;571.95;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;587.2166666666667;2;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;602.4333333333333;3;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;617.6;7;1900-01-01T10:38:26.000000000;T30;T6
2022/01/31;3.316666666666667;16;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;300.48333333333335;3;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;315.3666666666667;1;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;330.3833333333333;1;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;345.8;3;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;361.1166666666667;5;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;376.45;6;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;391.73333333333335;5;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;407.01666666666665;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;422.31666666666666;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;437.5833333333333;0;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;453.1666666666667;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;468.4166666666667;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;483.6666666666667;3;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;498.98333333333335;14;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;514.3833333333333;14;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;529.7833333333333;16;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;544.9833333333333;17;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;559.9;3;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;574.6666666666666;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;589.8833333333333;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;605.0666666666667;1;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;620.1666666666666;1;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;635.2666666666667;4;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;650.7666666666667;3;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;666.6833333333333;5;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;682.0833333333334;5;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;697.4333333333333;4;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;712.7333333333333;0;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;728.0333333333333;1;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;743.3;1;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;758.5166666666667;2;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;773.6833333333333;8;1900-01-01T08:02:21.000000000;T30;T6
2022/01/31;36.61666666666667;3;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;51.5;5;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;66.51666666666667;7;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;81.93333333333334;5;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;97.25;3;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;112.58333333333333;3;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;127.86666666666666;2;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;143.15;3;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;158.45;4;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;173.71666666666667;5;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;189.3;4;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;204.55;4;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;219.8;6;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;235.11666666666667;15;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;250.51666666666668;15;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;265.9166666666667;16;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;281.1166666666667;15;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;296.03333333333336;4;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;310.8;6;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;326.01666666666665;4;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;341.2;6;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;356.3;7;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;371.4;9;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;386.9;8;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;402.81666666666666;7;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;418.21666666666664;6;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;433.56666666666666;6;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;448.8666666666667;5;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;464.1666666666667;5;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;479.43333333333334;6;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;494.65;7;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;509.81666666666666;11;1900-01-01T12:26:13.000000000;T30;T6
2022/01/31;21.366666666666667;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;36.25;5;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;51.266666666666666;6;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;66.68333333333334;6;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;82.0;5;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;97.33333333333333;5;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;112.61666666666666;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;127.9;3;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;143.2;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;158.46666666666667;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;174.05;2;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;189.3;2;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;204.55;7;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;219.86666666666667;17;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;235.26666666666668;16;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;250.66666666666666;18;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;265.8666666666667;17;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;280.78333333333336;5;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;295.55;6;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;310.76666666666665;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;325.95;6;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;341.05;6;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;356.15;9;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;371.65;8;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;387.56666666666666;8;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;402.96666666666664;7;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;418.31666666666666;7;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;433.6166666666667;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;448.9166666666667;4;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;464.18333333333334;6;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;479.4;7;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;494.56666666666666;12;1900-01-01T12:41:28.000000000;T30;T6
2022/01/31;291.1333333333333;16;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;6.033333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;20.916666666666668;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;35.93333333333333;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;51.35;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;66.66666666666667;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;82.0;4;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;97.28333333333333;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;112.56666666666666;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;127.86666666666666;0;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;143.13333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;158.71666666666667;4;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;173.96666666666667;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;189.21666666666667;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;204.53333333333333;12;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;219.93333333333334;12;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;235.33333333333334;14;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;250.53333333333333;14;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;265.45;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;280.21666666666664;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;295.43333333333334;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;310.6166666666667;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;325.71666666666664;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;340.81666666666666;4;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;356.31666666666666;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;372.23333333333335;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;387.6333333333333;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;402.98333333333335;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;418.28333333333336;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;433.5833333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;448.85;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;464.06666666666666;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;479.23333333333335;7;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;18.483333333333334;16;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;315.65;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;330.53333333333336;0;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;345.55;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;360.96666666666664;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;376.28333333333336;4;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;391.6166666666667;4;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;406.9;4;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;422.18333333333334;2;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;437.48333333333335;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;452.75;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;468.3333333333333;4;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;483.5833333333333;3;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;498.8333333333333;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;514.15;13;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;529.55;12;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;544.95;14;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;560.15;15;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;575.0666666666667;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;589.8333333333334;0;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;605.05;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;620.2333333333333;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;635.3333333333334;2;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;650.4333333333333;3;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;665.9333333333333;3;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;681.85;3;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;697.25;3;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;712.6;2;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;727.9;2;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;743.2;0;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;758.4666666666667;1;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;773.6833333333333;2;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;788.85;7;1900-01-01T07:47:11.000000000;T30;T6
2022/01/31;291.1333333333333;16;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;6.033333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;20.916666666666668;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;35.93333333333333;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;51.35;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;66.66666666666667;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;82.0;4;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;97.28333333333333;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;112.56666666666666;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;127.86666666666666;0;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;143.13333333333333;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;158.71666666666667;4;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;173.96666666666667;3;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;189.21666666666667;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;204.53333333333333;12;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;219.93333333333334;12;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;235.33333333333334;14;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;250.53333333333333;14;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;265.45;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;280.21666666666664;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;295.43333333333334;1;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;310.6166666666667;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;325.71666666666664;2;1900-01-01T12:56:48.000000000;T30;T6
2022/01/31;340.81666666666666;4;1900-01-01T12:56:48.000000000;T30;T6
