day;time distance;space distance;sex one;sex two;time;name one;name two
1/12/2020;329.0;18;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;400.0;14;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;415.0;17;macho;macho;1900-01-01T16:51:00.000000000;T10;T171
1/12/2020;254.0;5;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;244.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;209.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;164.0;9;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;159.0;9;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;154.0;13;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;144.0;12;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;13.0;10;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;8.0;12;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;3.0;12;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;2.0;14;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;7.0;19;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;37.0;19;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;300.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;93.0;13;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;103.0;15;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;108.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;113.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;123.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;138.0;17;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;148.0;19;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;153.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;168.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;198.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;149.0;19;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;208.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;214.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;208.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;223.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;208.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;233.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;238.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;123.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;249.0;17;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;2.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;123.0;18;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;108.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;208.0;17;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;123.0;17;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;103.0;12;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;289.0;14;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;123.0;17;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;233.0;14;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;304.0;11;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;309.0;12;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;319.0;11;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;238.0;14;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;329.0;16;macho;macho;1900-01-01T18:27:00.000000000;T10;T171
1/12/2020;351.0;5;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;341.0;15;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;306.0;15;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;261.0;4;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;256.0;5;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;251.0;9;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
1/12/2020;246.0;16;macho;macho;1900-01-01T20:04:00.000000000;T10;T171
